sample,lane,population,sub_population,genotype,phenotype,fastq_1,fastq_2
CO25_f10,22LLYKLT4_L1,CO25,f10,XX,NR,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/CO25_f10_MKDN250000831-1A_22LLYKLT4_L1_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/CO25_f10_MKDN250000831-1A_22LLYKLT4_L1_2.fq.gz
CO25_f15,22LLYKLT4_L7,CO25,f15,Y+,R,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/CO25_f15_MKDN250000832-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/CO25_f15_MKDN250000832-1A_22LLYKLT4_L7_2.fq.gz
N39,22LLYKLT4_L7,NasW,39,YY,R,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/N39_MKDN250000835-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/N39_MKDN250000835-1A_22LLYKLT4_L7_2.fq.gz
N40,22LLYKLT4_L1,NasW,40,YY,R,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/N40_MKDN250000836-1A_22LLYKLT4_L1_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/N40_MKDN250000836-1A_22LLYKLT4_L1_2.fq.gz
N47,22LLYKLT4_L7,NasW,47,YY,R,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/N47_MKDN250000837-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/N47_MKDN250000837-1A_22LLYKLT4_L7_2.fq.gz
PO15_f01,22LLYKLT4_L7,PO15,f01,XX,NR,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO15_f01_MKDN250000839-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO15_f01_MKDN250000839-1A_22LLYKLT4_L7_2.fq.gz
PO22_f03,22LLYKLT4_L2,PO22,f03,XX,NR,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f03_MKDN250000842-1A_22LLYKLT4_L2_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f03_MKDN250000842-1A_22LLYKLT4_L2_2.fq.gz
PO22_f04,22LLYKLT4_L1,PO22,f04,XX,NR,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f04_MKDN250000843-1A_22LLYKLT4_L1_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f04_MKDN250000843-1A_22LLYKLT4_L1_2.fq.gz
PO22_f08,22LLYKLT4_L7,PO22,f08,Y+,R,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f08_MKDN250000844-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f08_MKDN250000844-1A_22LLYKLT4_L7_2.fq.gz
PO22_f11,22LLYKLT4_L7,PO22,f11,Y+,R,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f11_MKDN250000845-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f11_MKDN250000845-1A_22LLYKLT4_L7_2.fq.gz
PO22_f12,22LLYKLT4_L7,PO22,f12,XX,NR,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f12_MKDN250000846-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO22_f12_MKDN250000846-1A_22LLYKLT4_L7_2.fq.gz
PO8_f02,22LLYKLT4_L7,PO8,f02,XX,NR,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO8_f02_MKDN250000838-1A_22LLYKLT4_L7_1.fq.gz,/shared/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/input/data/individuals/PO8_f02_MKDN250000838-1A_22LLYKLT4_L7_2.fq.gz
